23368,Cordoba,23,MONTERÍA,23001,2,Roundup,265900.00,2023-03-24 05:00:00,Botella
23640,Cordoba,23,MONTERÍA,23001,3,Maíz híbrido,297937.36,2023-09-20 05:00:00,Caja
23661,Cordoba,23,MONTERÍA,23001,3,Maíz híbrido,304708.78,2023-11-01 05:00:00,Caja
23536,Cordoba,23,MONTERÍA,23001,3,Maíz híbrido,273101.15,2023-02-24 05:00:00,Caja
23124,Cordoba,23,TIERRALTA,23807,3,Maíz híbrido,147105.85,2023-11-19 05:00:00,Caja
22149,Cordoba,23,MONTERÍA,23001,1,Urea,159600.00,2023-07-12 05:00:00,Bolsa
23523,Cordoba,23,MONTERÍA,23001,3,Maíz híbrido,274291.99,2023-01-29 05:00:00,Caja
22824,Cordoba,23,TIERRALTA,23807,2,Roundup,95700.00,2023-03-28 05:00:00,Botella
23055,Cordoba,23,TIERRALTA,23807,3,Maíz híbrido,126522.81,2023-07-04 05:00:00,Caja
22833,Cordoba,23,TIERRALTA,23807,2,Roundup,94800.00,2023-04-15 05:00:00,Botella
23644,Cordoba,23,MONTERÍA,23001,3,Maíz híbrido,288803.83,2023-09-28 05:00:00,Caja
22281,Cordoba,23,MONTERÍA,23001,2,Roundup,145400.00,2023-04-03 05:00:00,Botella
22800,Cordoba,23,TIERRALTA,23807,2,Roundup,98100.00,2023-02-08 05:00:00,Botella
23551,Cordoba,23,MONTERÍA,23001,3,Maíz híbrido,306393.36,2023-03-26 05:00:00,Caja
23374,Cordoba,23,MONTERÍA,23001,2,Roundup,265300.00,2023-04-05 05:00:00,Botella
23614,Cordoba,23,MONTERÍA,23001,3,Maíz híbrido,306787.96,2023-07-30 05:00:00,Caja
22662,Cordoba,23,TIERRALTA,23807,1,Urea,106300.00,2023-05-07 05:00:00,Bolsa
23170,Cordoba,23,MONTERÍA,23001,1,Urea,272500.00,2023-02-20 05:00:00,Bolsa
22531,Cordoba,23,MONTERÍA,23001,3,Maíz híbrido,154102.01,2023-08-17 05:00:00,Caja
22254,Cordoba,23,MONTERÍA,23001,2,Roundup,148100.00,2023-02-08 05:00:00,Botella
22792,Cordoba,23,TIERRALTA,23807,2,Roundup,98900.00,2023-01-23 05:00:00,Botella
22905,Cordoba,23,TIERRALTA,23807,2,Roundup,87600.00,2023-09-06 05:00:00,Botella
22114,Cordoba,23,MONTERÍA,23001,1,Urea,156100.00,2023-05-03 05:00:00,Bolsa
23381,Cordoba,23,MONTERÍA,23001,2,Roundup,264600.00,2023-04-19 05:00:00,Botella
22071,Cordoba,23,MONTERÍA,23001,1,Urea,151800.00,2023-02-06 05:00:00,Bolsa
22255,Cordoba,23,MONTERÍA,23001,2,Roundup,148000.00,2023-02-10 05:00:00,Botella
22639,Cordoba,23,TIERRALTA,23807,1,Urea,104000.00,2023-03-22 05:00:00,Bolsa
23526,Cordoba,23,MONTERÍA,23001,3,Maíz híbrido,286153.34,2023-02-04 05:00:00,Caja
22310,Cordoba,23,MONTERÍA,23001,2,Roundup,142500.00,2023-05-31 05:00:00,Botella
22917,Cordoba,23,TIERRALTA,23807,2,Roundup,86400.00,2023-09-30 05:00:00,Botella
23456,Cordoba,23,MONTERÍA,23001,2,Roundup,257100.00,2023-09-16 05:00:00,Botella
23413,Cordoba,23,MONTERÍA,23001,2,Roundup,261400.00,2023-06-22 05:00:00,Botella
22562,Cordoba,23,MONTERÍA,23001,3,Maíz híbrido,159250.55,2023-10-18 05:00:00,Caja
22320,Cordoba,23,MONTERÍA,23001,2,Roundup,141500.00,2023-06-20 05:00:00,Botella
22501,Cordoba,23,MONTERÍA,23001,3,Maíz híbrido,153237.44,2023-06-18 05:00:00,Caja
22230,Cordoba,23,MONTERÍA,23001,1,Urea,167700.00,2023-12-21 05:00:00,Bolsa
23260,Cordoba,23,MONTERÍA,23001,1,Urea,281500.00,2023-08-19 05:00:00,Bolsa
22929,Cordoba,23,TIERRALTA,23807,2,Roundup,85200.00,2023-10-24 05:00:00,Botella
22150,Cordoba,23,MONTERÍA,23001,1,Urea,159700.00,2023-07-14 05:00:00,Bolsa
23018,Cordoba,23,TIERRALTA,23807,3,Maíz híbrido,101667.07,2023-04-21 05:00:00,Caja
